ocean_delay_days,cost_increase_pct,current_stock_days,order_qty,optimal_air_qty
36,0.09456934816337004,8,20000,20000
16,0.28674588194548833,23,13773,789
1,0.10762191025047685,3,13773,2484
1,0.4308124750419892,12,20000,0
27,0.47109272724481926,22,13773,5417
22,0.2592464874711202,4,13773,11522
36,0.17615444210458914,10,20000,20000
31,0.11702888750874957,9,13773,13598
32,0.024890500761521883,27,13773,5771
0,0.1342500380987477,12,13773,0
18,0.32711788997265895,19,13773,2584
1,0.2668084656546054,2,13773,2945
43,0.4720206391404637,16,20000,20000
25,0.1981386312458503,5,13773,12354
31,0.34693167116419726,5,13773,13773
5,0.2446613737375607,11,20000,356
31,0.2562881079621058,12,20000,16831
3,0.13388715730205875,19,20000,0
10,0.22747538842099985,24,20000,0
16,0.23539249850635363,16,13773,3207
37,0.35332126087446697,4,13773,13773
23,0.4703199995930569,8,13773,9959
4,0.16466063874125214,8,13773,1915
33,0.021100234290649222,18,13773,9758
5,0.24814756275031985,23,13773,204
21,0.2722306660745843,21,13773,2847
10,0.08422027556595763,25,20000,0
15,0.38023230313803336,17,13773,2379
32,0.4924645542207458,17,20000,14979
8,0.47288735850423047,9,20000,3916
5,0.09855301941182609,4,20000,5358
15,0.43768161995038035,21,13773,837
28,0.35224681820584236,16,13773,8356
2,0.2269232819034558,2,20000,4897
19,0.2703054971623645,11,13773,6679
35,0.42480008749122905,3,13773,13773
18,0.24006746981918659,8,20000,11495
25,0.18660368455256343,15,20000,10980
2,0.2466237465129929,17,13773,0
18,0.28956490201752455,16,20000,6199
19,0.09453882688917442,8,20000,11921
31,0.45045386513349533,14,20000,15785
6,0.3370934744148069,26,13773,58
40,0.31663445866874446,11,13773,13773
32,0.04974811309031907,10,20000,18978
39,0.3020869690862959,10,20000,20000
38,0.06048033111924617,7,13773,13773
17,0.039348837597699526,25,13773,9
39,0.26365544782119665,26,13773,9344
0,0.2013927670232475,13,13773,366
10,0.2944051350781116,24,13773,0
27,0.0446110840286193,21,13773,5947
24,0.2154915314236292,21,20000,6769
22,0.08739335752257898,23,20000,3828
30,0.4935500429620583,15,20000,14229
29,0.2805751062175872,21,13773,6541
41,0.34371843047043366,8,20000,20000
34,0.1627091403413039,9,20000,20000
6,0.047369457389672076,9,20000,3136
15,0.4879354313917683,9,20000,8581
25,0.1431295176915916,3,20000,19383
1,0.2119040925867871,15,20000,561
0,0.3249319608512875,11,20000,155
11,0.012348648843055643,19,13773,41
4,0.40512956525864346,19,20000,63
36,0.26828909501431014,19,20000,16174
31,0.13910859353441107,17,13773,9275
8,0.030803992646234624,21,20000,228
40,0.08124920773722072,6,13773,13773
34,0.44751692942671845,21,20000,13659
18,0.3430121119679455,6,13773,8871
15,0.12495086081844492,21,20000,973
2,0.032800382472514766,24,20000,0
19,0.34530765619331816,11,20000,9821
23,0.28620386298388256,18,20000,8045
32,0.2022597622291175,14,20000,16441
23,0.18180572459503191,18,13773,5765
10,0.10840713796455415,19,20000,0
7,0.3348056282687588,14,13773,0
35,0.48533401389693526,18,20000,15830
37,0.08785762291841293,16,20000,18443
39,0.2985583100077517,27,20000,12255
19,0.2120925278729881,13,13773,5980
34,0.22334436087233245,11,13773,13748
24,0.1270736400639072,14,13773,8376
34,0.41256743783070954,12,13773,13773
24,0.24262780207362056,4,13773,12075
28,0.27170292609913205,23,20000,7429
17,0.15238045639866288,11,20000,8306
17,0.09090423283347487,12,13773,5490
1,0.04295519410141024,7,13773,796
34,0.35705957046245795,2,20000,20000
15,0.09811714084392781,7,20000,10173
40,0.34503767709439886,6,13773,13773
35,0.19518822302347694,8,13773,13773
32,0.20788740049482574,23,20000,10716
3,0.23458874804638585,13,13773,0
32,0.1838542540637716,13,20000,17322
13,0.05030998861129504,8,13773,5184
20,0.1548159050014229,3,13773,11386
19,0.3318671803469692,2,20000,16365
7,0.3328922007344355,24,20000,370
6,0.14311215361999718,26,13773,0
2,0.23005131327884398,19,20000,35
16,0.09672361400596874,13,13773,4433
32,0.10518604076491789,8,13773,13773
11,0.011523544203303704,20,20000,85
21,0.4483732749538723,23,20000,2696
21,0.1053533325374531,4,20000,16254
29,0.11376693846823166,11,13773,11128
37,0.1398007163225659,12,20000,20000
37,0.0637040358477145,6,20000,20000
44,0.3196314415906814,3,20000,20000
7,0.037571476588793284,9,13773,2492
26,0.06710121316317513,15,20000,12025
26,0.32237836329504643,9,20000,15793
33,0.16983031024072137,24,20000,10346
20,0.3539739133505945,7,20000,13273
29,0.278712372335071,2,13773,13773
32,0.12801058653075653,25,13773,6358
27,0.32541397524466403,2,13773,13773
32,0.05813684014644033,9,13773,13773
4,0.2682051915400152,12,20000,0
18,0.21857405252251733,19,13773,2825
3,0.1339367914087204,25,20000,522
34,0.30200249886975006,11,13773,13679
16,0.43566679617014126,13,20000,6624
43,0.49945234988153836,21,20000,19471
27,0.30388138437171225,24,20000,6869
29,0.20235293716458508,17,13773,9037
28,0.1126035501081008,6,13773,13346
5,0.12854804469755587,17,13773,0
34,0.23972748907488284,25,20000,10834
40,0.18363885064035462,13,13773,13773
36,0.4569072613124721,7,20000,20000
23,0.18414773382785476,6,13773,11041
28,0.18672229557271774,2,13773,13773
30,0.19176725621698848,20,13773,7780
34,0.41831010518382905,11,13773,13773
32,0.32539416042345093,26,13773,6153
20,0.30708442515944634,15,20000,8208
31,0.1670715111919311,26,13773,5370
22,0.4089520884162197,22,13773,2721
32,0.019181930677850567,4,13773,13773
2,0.4353985861690566,7,20000,1464
17,0.2563749498969648,6,13773,8273
24,0.1991251174317064,18,13773,5838
41,0.24858364035884284,19,20000,19399
30,0.33370776526691553,13,13773,10938
2,0.00638271325894868,6,20000,2014
39,0.43577592822912387,10,20000,20000
23,0.2233697626556964,13,13773,8034
31,0.1714832598500391,21,20000,11517
21,0.06912278281702855,10,13773,8897
22,0.21973268717922106,4,20000,16453
1,0.24816138564218942,2,13773,2603
26,0.2018233472467389,23,20000,6718
41,0.33933004691344854,16,20000,20000
1,0.210448264379613,11,20000,473
25,0.48070878892328667,15,13773,7682
16,0.2996387589117959,8,20000,9953
39,0.4037389678259545,5,13773,13773
32,0.054677951554739423,27,13773,5966
8,0.19864564647295285,6,20000,6146
42,0.16842385072357635,21,13773,13326
38,0.2847411940682959,17,13773,13729
28,0.4305567600307128,4,20000,20000
41,0.039169108881003334,18,13773,13773
25,0.03628739902235539,14,13773,8186
34,0.42515885407879944,7,20000,20000
24,0.10642504301917871,27,20000,2226
23,0.33437662722490685,6,20000,16638
12,0.2714390661804026,17,20000,1633
6,0.41644679744361474,12,13773,391
35,0.06254445491820176,18,13773,11204
44,0.06489148286130564,6,13773,13773
19,0.2784091801391538,7,20000,12638
0,0.47318932667918545,11,13773,0
7,0.20749887918537713,22,20000,433
15,0.16347105012734747,2,13773,9635
13,0.3033446615989429,22,20000,267
11,0.46522430027251555,11,13773,3497
22,0.41846391642231184,18,13773,4855
14,0.49774180536660995,4,20000,11548
27,0.011284291601188545,3,13773,13773
33,0.056429072356381116,18,13773,9645
1,0.304733881683311,5,13773,1345
31,0.41028821966692486,3,13773,13773
22,0.14262217115338327,6,20000,15512
21,0.11960554401710938,11,13773,7427
24,0.39348789969060044,2,20000,18867
21,0.02819092692661579,27,20000,531
21,0.18469132379129255,2,20000,17070
41,0.25290461129616487,27,13773,9824
5,0.2801743371751617,5,20000,4362
14,0.36430757839638844,8,20000,9249
42,0.17742286171532912,15,20000,20000
36,0.3063421723373036,15,13773,12810
32,0.29268771139547817,19,13773,8837
7,0.27380805032687355,3,20000,6936
43,0.3202416465711061,2,20000,20000
43,0.12972458553403815,22,13773,12681
4,0.04232437679231449,23,20000,0
38,0.05963583601987171,17,13773,13266
3,0.11229119132695053,23,20000,0
5,0.2500989677613926,19,13773,105
44,0.42022137527301007,17,13773,13773
31,0.35064667104419206,24,13773,5941
29,0.39452030210102357,23,20000,8551
34,0.1754878119630457,25,20000,10243
39,0.20232687082427508,7,13773,13773
15,0.1968409429953064,26,13773,18
12,0.09593659220225076,11,20000,5310
41,0.03060832907178601,3,13773,13773
29,0.2954580464136134,8,20000,19020
18,0.49460834171029305,22,13773,1263
16,0.08341485247513142,18,13773,1852
18,0.023342409949636878,4,20000,13716
27,0.3897658409119665,21,20000,8064
25,0.1262930033423621,13,13773,8526
36,0.4148219026764642,3,20000,20000
25,0.3519683335172577,8,13773,11226
22,0.4728367685254023,18,20000,7505
8,0.204463617878336,20,13773,63
11,0.3309849197253171,13,20000,3617
0,0.23242739040663535,10,20000,0
0,0.31529434865427175,15,13773,95
33,0.22479945300386867,3,13773,13773
31,0.09431612321203742,22,13773,7202
24,0.25394870800169045,5,13773,12038
39,0.26429210071872117,20,13773,11777
44,0.40530192413008054,22,13773,13773
0,0.3677603528967906,17,20000,0
15,0.33189581197072204,23,13773,240
38,0.05669354777628627,18,13773,12316
4,0.3603081453318575,3,13773,3712
21,0.2501525781772574,18,13773,4481
28,0.4470497680530796,20,20000,10053
2,0.4599354670652714,9,13773,517
11,0.02757829530089273,25,13773,462
25,0.4103207801772394,21,20000,7187
15,0.01884869521133531,7,20000,9931
36,0.18358481284751133,13,13773,13773
21,0.27114998781053956,26,20000,1525
28,0.07405039931356372,24,13773,5606
13,0.3731569062845384,19,20000,1052
27,0.004177352086069286,3,20000,20000
4,0.08429952421701842,20,20000,120
29,0.29039841492673785,25,20000,7401
4,0.3571937810186462,11,20000,0
11,0.45832155134695807,26,13773,304
15,0.3527483259673119,4,13773,7509
25,0.335889635127433,26,20000,4301
25,0.19717057317533215,13,20000,12790
20,0.0006422127634007069,27,20000,0
38,0.06007962936781097,17,13773,12542
35,0.26727727237801957,13,13773,12694
32,0.33756494292220984,9,13773,13773
29,0.20872414194823125,6,20000,19702
36,0.3653395057641951,12,13773,13773
22,0.2609311476660894,11,20000,12283
9,0.037088097797156105,4,20000,7963
4,0.09600812548397442,24,20000,0
35,0.41999911162197145,10,20000,20000
33,0.36245637331221975,13,13773,12460
30,0.4473809935062475,7,13773,13773
9,0.058778624560468284,20,20000,0
18,0.49511126730753696,17,20000,5640
31,0.1047033569749668,22,20000,11070
0,0.005889938143321005,24,20000,0
4,0.4987114695267771,25,20000,0
44,0.14053694272255657,15,20000,20000
3,0.33400972625627995,5,13773,2103
15,0.0883411570881526,19,13773,1323
23,0.29011426609957086,11,13773,8501
15,0.45201749322727963,19,20000,2136
1,0.1600905837142193,13,13773,191
27,0.3351269880221796,20,13773,6319
31,0.09395179439920825,9,13773,12727
26,0.3123976993593626,2,13773,13773
19,0.16822517590875508,15,13773,4607
23,0.10560412929397583,24,20000,4074
11,0.15659102535181757,7,20000,7354
34,0.08942053425389968,15,20000,17234
32,0.4509580539189414,3,13773,13773
32,0.19859344315856442,10,20000,19442
42,0.12263965248718367,13,13773,13773
36,0.22420392050796645,6,20000,20000
11,0.16026808340324777,3,13773,6762
2,0.372209626906663,20,13773,0
0,0.4856099559427472,8,20000,323
32,0.2190168283488234,8,20000,20000
39,0.4305166999861202,11,13773,13773
9,0.28293153677980976,18,13773,0
42,0.07861783254711674,27,20000,14784
43,0.3453113710406708,15,20000,20000
28,0.25671724856291006,12,13773,10195
12,0.3253032616260517,21,20000,0
11,0.4448437062858325,7,20000,7210
30,0.22021728532802304,9,20000,18802
1,0.4505888116086778,20,20000,745
34,0.37533450714082744,20,13773,9976
22,0.24430246293899238,25,13773,1383
16,0.30161106782898184,25,13773,0
25,0.16279056625950572,25,20000,4638
7,0.4917986498693871,18,13773,150
28,0.333675581525198,25,13773,4347
25,0.021923426248314948,25,20000,4842
9,0.16331095287400438,19,20000,0
25,0.31165721687952874,13,13773,8897
33,0.0281666388996199,10,13773,13773
40,0.011942095659571383,24,20000,15946
6,0.22501211976390129,25,20000,293
3,0.166345089846335,17,20000,394
44,0.21914930401658295,19,20000,20000
10,0.13134665494000258,17,20000,0
28,0.08235887347149046,17,13773,8361
35,0.34457167849016884,5,13773,13773
24,0.25728555813390025,24,13773,3527
20,0.10007710562468342,23,13773,1875
35,0.15979471312999916,8,20000,20000
9,0.29590395383166296,2,20000,9478
36,0.03611467413623892,25,13773,8277
8,0.07372650463308977,24,20000,0
23,0.03662280205369506,21,13773,3901
34,0.40615866635705944,2,13773,13773
34,0.3762046166060046,9,13773,13773
35,0.37665646593962854,27,13773,7086
17,0.358162671738014,24,13773,370
38,0.3346927118349346,9,13773,13773
31,0.2384959576890875,11,20000,18336
23,0.3211390817535575,2,20000,18613
22,0.019180777393987325,22,13773,3387
31,0.3107322113283923,26,13773,5896
36,0.3889388527684386,22,13773,10262
11,0.2501791801921951,15,20000,2321
12,0.17875666421361847,15,20000,2727
22,0.13871336740048956,11,20000,12168
24,0.32140102508104124,20,13773,5424
34,0.34640059931495437,26,20000,10212
40,0.4354837999312713,17,13773,13653
29,0.17116704123049536,10,20000,17517
16,0.3848861536927928,21,13773,1309
19,0.28067791209466897,17,13773,4675
24,0.44141824533903956,21,13773,4609
21,0.2639060541478104,9,20000,12331
12,0.2588149141989836,8,20000,6799
18,0.28893854072045455,12,20000,8905
35,0.3746576775712172,22,13773,8721
11,0.48234523941423046,7,13773,5146
40,0.036781677107882826,16,20000,20000
18,0.02671730119550858,20,20000,3284
11,0.46877516870366925,15,13773,928
8,0.26493781275910305,16,13773,0
6,0.30745150728346804,7,20000,3724
27,0.24121180079736443,25,13773,4094
13,0.046828726303737245,11,20000,6361
30,0.38404468920933327,15,20000,14670
18,0.37361232254429344,17,13773,4318
15,0.155851660746406,14,20000,5645
4,0.1531196226142002,12,20000,88
34,0.41892069045275926,26,13773,6865
11,0.03617862887066331,4,20000,9184
24,0.4405525741782829,9,20000,14711
20,0.1283308449479572,4,13773,10722
35,0.29649237387774696,3,13773,13773
22,0.46799708950088886,22,20000,4517
15,0.3390612507683232,15,20000,4357
38,0.2072149062335183,21,13773,11577
44,0.3447671044527076,22,13773,13504
41,0.1719898181581851,23,20000,16773
38,0.13862920817459307,16,20000,19485
13,0.49834163896733985,4,20000,10997
30,0.37539511558989386,2,20000,20000
4,0.3223599886909088,16,13773,0
34,0.1776448216096594,21,13773,8956
22,0.02458041457752408,23,13773,2752
28,0.015528438017577806,3,13773,13773
42,0.2770906277243994,19,20000,19698
10,0.38101636051952553,2,13773,6400
17,0.26868959522192754,10,20000,9830
11,0.4203925359695573,4,20000,9232
8,0.016713266546610817,3,13773,5655
9,0.18337603821297005,5,13773,5079
43,0.11853519558708903,17,20000,20000
16,0.22363648407856102,23,13773,0
37,0.03618819659706124,2,20000,20000
6,0.4770658207855363,10,20000,2347
12,0.11162770053468046,26,13773,582
39,0.4611538877417924,9,20000,20000
41,0.2129465775183409,7,13773,13773
8,0.492762066627609,21,13773,319
26,0.2770291917301054,19,13773,6559
1,0.46541643208790373,17,20000,8
4,0.0026744943471114224,9,13773,898
28,0.37411940309045005,24,20000,7162
36,0.4515253265512577,5,13773,13773
37,0.06986028348947704,4,20000,20000
18,0.048062925866075745,16,20000,6094
7,0.2122863035929778,7,20000,4777
44,0.46683945306646757,2,20000,20000
0,0.27119328009521937,19,20000,399
21,0.2637282318608661,24,13773,1350
16,0.07056305914966093,12,20000,7492
6,0.00039475554660939327,4,13773,3969
24,0.4050700453727306,14,13773,7544
44,0.04378728149311911,18,13773,13773
3,0.316924909367662,19,13773,0
35,0.45730822725759573,27,20000,10106
5,0.1043259565792155,27,13773,484
30,0.3326364181184554,15,13773,9906
18,0.03934928835375473,26,13773,705
43,0.3018775719188065,8,13773,13773
38,0.08196586047660137,8,13773,13773
26,0.367976780257589,15,13773,8671
9,0.1506156473969541,27,20000,0
25,0.23169550440232312,25,20000,4598
18,0.29971527101381085,16,20000,6515
38,0.08563670533311979,13,13773,13773
2,0.37081890930881045,13,13773,177
44,0.15132017031840728,9,13773,13773
12,0.33118592995637675,17,20000,756
27,0.07914152534968683,10,13773,10833
19,0.34405882960317513,3,13773,11273
27,0.06409403640523087,15,20000,12733
7,0.2126782481349918,25,13773,115
40,0.12360303686943841,25,20000,14738
38,0.3741876247140913,17,13773,13467
0,0.13101750225343728,6,13773,166
2,0.4408586531976981,6,13773,1173
12,0.4459101057033064,21,20000,0
27,0.09822065761139293,22,13773,5675
24,0.30692297250386213,19,20000,8046
32,0.04385882085998216,19,13773,9236
37,0.1957685498008146,6,20000,20000
5,0.35666086475063613,12,13773,182
43,0.32971162342495813,14,20000,20000
44,0.312350334703304,4,20000,20000
31,0.1412704318312218,18,13773,8935
44,0.189012474717201,26,20000,16336
20,0.05147307235014309,19,20000,4799
15,0.3595114102168005,15,20000,4736
20,0.25194439839563676,13,13773,6556
10,0.3543828161728273,15,20000,1464
36,0.12447176239843638,27,13773,7627
35,0.1622191143175331,19,20000,15667
34,0.16710766863005733,21,20000,12721
18,0.0128712048736081,3,20000,14855
19,0.17052393641531177,8,20000,12054
17,0.40165228675901676,16,13773,3724
40,0.44864924787486926,11,13773,13773
13,0.25910915781796373,16,20000,2501
14,0.22775084760961012,18,13773,1535
30,0.015412309349685127,12,13773,11183
0,0.4396021687926913,3,20000,2997
2,0.006505106712936359,22,20000,0
15,0.4723750401051059,19,20000,1387
22,0.24460812434404533,26,20000,2033
10,0.1709672467873633,5,20000,7646
11,0.46210921742133004,10,20000,4973
9,0.012195496555048368,18,13773,205
31,0.29071244743454355,18,20000,13613
15,0.2744662622496688,18,20000,2633
7,0.10966020060569104,17,20000,0
37,0.21444371567510528,21,13773,10718
11,0.3261320029718851,26,20000,0
23,0.36356559844096376,9,13773,10054
27,0.0003584293532898908,24,13773,5181
7,0.46842671504550765,16,13773,0
27,0.0822626861964062,2,20000,20000
35,0.1167902171111796,20,13773,9632
25,0.13173672284692411,26,20000,3838
7,0.018910068276017655,16,20000,307
27,0.06152606179516246,10,20000,15783
27,0.493174961472081,6,20000,18422
36,0.15760836868864303,17,13773,11424
40,0.05765054516952467,14,20000,20000
35,0.05349563058731166,17,13773,11233
26,0.35972998383498594,23,13773,4823
16,0.42728433201632043,12,20000,7836
8,0.12847614975423494,14,20000,439
32,0.010454756167617485,7,13773,13773
19,0.1115450092226779,27,13773,0
12,0.028257845398378667,21,20000,0
27,0.051697468315020756,18,20000,10209
28,0.21575405992382118,6,20000,18950
12,0.11495918543081629,18,13773,444
34,0.2579729392627117,2,20000,20000
5,0.12674687662859518,6,20000,3886
17,0.4702686505514738,6,20000,12119
4,0.45297198396313226,8,20000,1972
24,0.283403052505233,17,13773,6078
1,0.17721199599369308,19,13773,287
9,0.19057344101736778,7,20000,5393
29,0.20592614157224848,3,13773,13773
44,0.363789661067472,14,20000,20000
4,0.22581949775941895,11,13773,102
32,0.4283649732529487,22,13773,7265
0,0.4720473929651823,21,20000,0
17,0.16797307668946693,12,20000,7898
31,0.28034724068784006,27,20000,7187
10,0.047528268416282216,22,20000,212
20,0.1002345238831795,3,13773,11357
25,0.20673288335508005,9,20000,15178
24,0.10310135795088943,25,20000,3968
21,0.4382802453943588,23,20000,3023
26,0.07914312802954904,20,20000,8619
12,0.22783041077654598,21,20000,0
32,0.30284962022993783,18,20000,14007
33,0.3459319540804222,17,13773,10371
40,0.19153468486325337,26,20000,14187
34,0.43454953436236426,11,13773,13773
0,0.28415957553896276,6,20000,1054
20,0.2197538902237759,15,13773,5520
5,0.03362031702601831,25,13773,182
27,0.2323447342225825,20,13773,6277
16,0.4103679204078651,5,20000,11747
4,0.30727050911065773,21,13773,0
30,0.4160812268645592,17,20000,13440
4,0.2470058352996528,25,13773,0
37,0.05923085254724092,16,20000,18928
2,0.006819922917940535,10,20000,0
22,0.1516097733592956,4,13773,11389
36,0.34899523574889624,24,20000,12868
36,0.3951299519708469,10,13773,13773
9,0.1478764173101647,19,13773,0
9,0.24782696044162356,5,20000,7806
18,0.2105594522170408,20,13773,2210
16,0.20526139217571393,25,20000,0
20,0.11567435660007525,5,13773,9996
13,0.06818555251472919,10,20000,7059
8,0.09834427911560656,2,20000,8437
0,0.02766619358167305,2,20000,2871
44,0.09906537091178852,21,13773,13632
12,0.004600448812689728,20,20000,0
3,0.31362920031798913,4,20000,3323
0,0.15818770369384144,11,20000,226
39,0.4865723557134543,13,20000,20000
31,0.09685852538814893,19,20000,12792
33,0.17291428515479695,15,20000,16934
27,0.1789205793207666,11,20000,15211
30,0.00422574803123027,11,20000,17738
7,0.41960397651972947,19,20000,0
38,0.01599723007216236,25,13773,9182
